,id3,color.1,group
0,853,#c55b11,Государственные и социальные услуги
1,851,#c55b11,Государственные и социальные услуги
2,861,#c55b11,Государственные и социальные услуги
3,469,#ad85e4,Торговля
4,960,#ff33a3,Локальные услуги
5,11,#00B050,"Сельское, лесное и рыбное хозяйство"
6,471,#ad85e4,Торговля
7,682,#fe0000,Бизнес  услуги
8,801,#ff33a3,Локальные услуги
9,478,#ad85e4,Торговля
10,862,#c55b11,Государственные и социальные услуги
11,494,#b9ede0,Транспорт и складирование
12,15,#00B050,"Сельское, лесное и рыбное хозяйство"
14,869,#c55b11,Государственные и социальные услуги
15,842,#c55b11,Государственные и социальные услуги
16,477,#ad85e4,Торговля
18,854,#c55b11,Государственные и социальные услуги
19,412,#933177,Строительство
21,14,#00B050,"Сельское, лесное и рыбное хозяйство"
22,561,#ff33a3,Локальные услуги
25,841,#c55b11,Государственные и социальные услуги
28,432,#933177,Строительство
29,855,#c55b11,Государственные и социальные услуги
31,562,#ff33a3,Локальные услуги
32,479,#ad85e4,Торговля
33,472,#ad85e4,Торговля
34,683,#fe0000,Бизнес  услуги
35,641,#fe0000,Бизнес  услуги
36,949,#c55b11,Государственные и социальные услуги
37,932,#ff33a3,Локальные услуги
40,360,#375fac,"Электроснабжение, подача газа, пара и воздушное  кондиционирование"
44,421,#933177,Строительство
46,473,#ad85e4,Торговля
49,620,#ffc000,Креативные услуги
50,452,#ad85e4,Торговля
51,61,#000000,Горнодобывающая промышленность и разработка карьеров
56,783,#ff33a3,Локальные услуги
57,439,#933177,Строительство
58,522,#b9ede0,Транспорт и складирование
59,91,#000000,Горнодобывающая промышленность и разработка карьеров
60,493,#b9ede0,Транспорт и складирование
61,107,#a6a6a6,Обрабатывающая промышленность
62,749,#fe0000,Бизнес  услуги
63,855,#ffc000,Креативные услуги
67,453,#ad85e4,Торговля
68,331,#a6a6a6,Обрабатывающая промышленность
73,351,#375fac,"Электроснабжение, подача газа, пара и воздушное  кондиционирование"
74,711,#fe0000,Бизнес  услуги
78,464,#ad85e4,Торговля
79,750,#ff33a3,Локальные услуги
80,731,#ffc000,Креативные услуги
81,551,#ff33a3,Локальные услуги
82,492,#b9ede0,Транспорт и складирование
84,531,#b9ede0,Транспорт и складирование
85,433,#933177,Строительство
86,429,#933177,Строительство
87,712,#fe0000,Бизнес  услуги
89,811,#ff33a3,Локальные услуги
90,829,#ff33a3,Локальные услуги
91,852,#c55b11,Государственные и социальные услуги
93,649,#fe0000,Бизнес  услуги
94,931,#ff33a3,Локальные услуги
95,466,#ad85e4,Торговля
96,910,#ff33a3,Локальные услуги
97,236,#a6a6a6,Обрабатывающая промышленность
98,711,#ffc000,Креативные услуги
102,353,#375fac,"Электроснабжение, подача газа, пара и воздушное  кондиционирование"
103,721,#fe0000,Бизнес  услуги
104,771,#ff33a3,Локальные услуги
105,241,#a6a6a6,Обрабатывающая промышленность
106,105,#a6a6a6,Обрабатывающая промышленность
109,310,#a6a6a6,Обрабатывающая промышленность
111,72,#000000,Горнодобывающая промышленность и разработка карьеров
112,702,#fe0000,Бизнес  услуги
113,872,#c55b11,Государственные и социальные услуги
114,812,#ff33a3,Локальные услуги
116,495,#b9ede0,Транспорт и складирование
117,381,#375fac,"Электроснабжение, подача газа, пара и воздушное  кондиционирование"
118,802,#ff33a3,Локальные услуги
119,620,#fe0000,Бизнес  услуги
121,106,#a6a6a6,Обрабатывающая промышленность
122,856,#c55b11,Государственные и социальные услуги
123,463,#ad85e4,Торговля
124,475,#ad85e4,Торговля
125,491,#b9ede0,Транспорт и складирование
130,631,#fe0000,Бизнес  услуги
131,451,#ad85e4,Торговля
134,651,#fe0000,Бизнес  услуги
135,791,#ff33a3,Локальные услуги
137,422,#933177,Строительство
139,692,#fe0000,Бизнес  услуги
143,773,#ff33a3,Локальные услуги
144,101,#a6a6a6,Обрабатывающая промышленность
145,521,#b9ede0,Транспорт и складирование
147,813,#ff33a3,Локальные услуги
152,99,#000000,Горнодобывающая промышленность и разработка карьеров
153,900,#ffc000,Креативные услуги
155,612,#fe0000,Бизнес  услуги
158,244,#a6a6a6,Обрабатывающая промышленность
159,941,#c55b11,Государственные и социальные услуги
160,619,#fe0000,Бизнес  услуги
163,110,#a6a6a6,Обрабатывающая промышленность
166,602,#ffc000,Креативные услуги
167,192,#a6a6a6,Обрабатывающая промышленность
168,81,#000000,Горнодобывающая промышленность и разработка карьеров
169,532,#b9ede0,Транспорт и складирование
171,732,#fe0000,Бизнес  услуги
175,879,#c55b11,Государственные и социальные услуги
181,701,#fe0000,Бизнес  услуги
182,951,#ff33a3,Локальные услуги
187,691,#fe0000,Бизнес  услуги
188,942,#c55b11,Государственные и социальные услуги
191,873,#c55b11,Государственные и социальные услуги
192,141,#a6a6a6,Обрабатывающая промышленность
193,611,#fe0000,Бизнес  услуги
194,51,#000000,Горнодобывающая промышленность и разработка карьеров
197,952,#ff33a3,Локальные услуги
198,222,#a6a6a6,Обрабатывающая промышленность
201,235,#a6a6a6,Обрабатывающая промышленность
203,461,#ad85e4,Торговля
205,411,#933177,Строительство
206,251,#a6a6a6,Обрабатывающая промышленность
209,462,#ad85e4,Торговля
213,781,#ff33a3,Локальные услуги
214,821,#ff33a3,Локальные услуги
219,181,#a6a6a6,Обрабатывающая промышленность
220,108,#a6a6a6,Обрабатывающая промышленность
222,581,#ffc000,Креативные услуги
225,212,#a6a6a6,Обрабатывающая промышленность
228,71,#000000,Горнодобывающая промышленность и разработка карьеров
234,474,#ad85e4,Торговля
237,889,#c55b11,Государственные и социальные услуги
243,201,#a6a6a6,Обрабатывающая промышленность
248,467,#ad85e4,Торговля
249,259,#a6a6a6,Обрабатывающая промышленность
250,233,#a6a6a6,Обрабатывающая промышленность
252,16,#00B050,"Сельское, лесное и рыбное хозяйство"
254,741,#ffc000,Креативные услуги
262,742,#ffc000,Креативные услуги
263,661,#fe0000,Бизнес  услуги
266,131,#a6a6a6,Обрабатывающая промышленность
270,476,#ad85e4,Торговля
271,920,#fe0000,Бизнес  услуги
272,89,#000000,Горнодобывающая промышленность и разработка карьеров
273,552,#ff33a3,Локальные услуги
275,291,#a6a6a6,Обрабатывающая промышленность
276,639,#fe0000,Бизнес  услуги
278,431,#933177,Строительство
281,104,#a6a6a6,Обрабатывающая промышленность
283,302,#a6a6a6,Обрабатывающая промышленность
289,563,#ff33a3,Локальные услуги
293,139,#a6a6a6,Обрабатывающая промышленность
294,465,#ad85e4,Торговля
296,172,#a6a6a6,Обрабатывающая промышленность
299,642,#fe0000,Бизнес  услуги
302,271,#a6a6a6,Обрабатывающая промышленность
305,681,#fe0000,Бизнес  услуги
314,743,#ffc000,Креативные услуги
315,591,#ffc000,Креативные услуги
322,511,#b9ede0,Транспорт и складирование
324,283,#a6a6a6,Обрабатывающая промышленность
329,273,#a6a6a6,Обрабатывающая промышленность
335,653,#fe0000,Бизнес  услуги
336,370,#375fac,"Электроснабжение, подача газа, пара и воздушное  кондиционирование"
338,881,#c55b11,Государственные и социальные услуги
341,31,#00B050,"Сельское, лесное и рыбное хозяйство"
348,102,#a6a6a6,Обрабатывающая промышленность
349,12,#00B050,"Сельское, лесное и рыбное хозяйство"
353,289,#a6a6a6,Обрабатывающая промышленность
357,843,#c55b11,Государственные и социальные услуги
360,352,#375fac,"Электроснабжение, подача газа, пара и воздушное  кондиционирование"
366,21,#00B050,"Сельское, лесное и рыбное хозяйство"
369,332,#a6a6a6,Обрабатывающая промышленность
371,329,#a6a6a6,Обрабатывающая промышленность
378,722,#fe0000,Бизнес  услуги
379,822,#ff33a3,Локальные услуги
380,502,#b9ede0,Транспорт и складирование
387,282,#a6a6a6,Обрабатывающая промышленность
392,243,#a6a6a6,Обрабатывающая промышленность
393,382,#375fac,"Электроснабжение, подача газа, пара и воздушное  кондиционирование"
402,256,#a6a6a6,Обрабатывающая промышленность
407,205,#a6a6a6,Обрабатывающая промышленность
413,231,#a6a6a6,Обрабатывающая промышленность
414,120,#a6a6a6,Обрабатывающая промышленность
419,242,#a6a6a6,Обрабатывающая промышленность
420,52,#000000,Горнодобывающая промышленность и разработка карьеров
425,152,#a6a6a6,Обрабатывающая промышленность
427,237,#a6a6a6,Обрабатывающая промышленность
430,823,#ff33a3,Локальные услуги
432,162,#a6a6a6,Обрабатывающая промышленность
433,325,#a6a6a6,Обрабатывающая промышленность
447,109,#a6a6a6,Обрабатывающая промышленность
452,871,#c55b11,Государственные и социальные услуги
453,24,#00B050,"Сельское, лесное и рыбное хозяйство"
454,239,#a6a6a6,Обрабатывающая промышленность
455,204,#a6a6a6,Обрабатывающая промышленность
456,103,#a6a6a6,Обрабатывающая промышленность
462,252,#a6a6a6,Обрабатывающая промышленность
465,32,#00B050,"Сельское, лесное и рыбное хозяйство"
474,161,#a6a6a6,Обрабатывающая промышленность
475,221,#a6a6a6,Обрабатывающая промышленность
477,203,#a6a6a6,Обрабатывающая промышленность
479,272,#a6a6a6,Обрабатывающая промышленность
486,255,#a6a6a6,Обрабатывающая промышленность
489,245,#a6a6a6,Обрабатывающая промышленность
494,281,#a6a6a6,Обрабатывающая промышленность
498,13,#00B050,"Сельское, лесное и рыбное хозяйство"
504,232,#a6a6a6,Обрабатывающая промышленность
508,321,#a6a6a6,Обрабатывающая промышленность
523,132,#a6a6a6,Обрабатывающая промышленность
525,301,#a6a6a6,Обрабатывающая промышленность
529,383,#375fac,"Электроснабжение, подача газа, пара и воздушное  кондиционирование"
531,390,#375fac,"Электроснабжение, подача газа, пара и воздушное  кондиционирование"
535,559,#ff33a3,Локальные услуги
543,799,#ff33a3,Локальные услуги
545,782,#ff33a3,Локальные услуги
552,202,#a6a6a6,Обрабатывающая промышленность
556,702,#ffc000,Креативные услуги
559,772,#ff33a3,Локальные услуги
568,143,#a6a6a6,Обрабатывающая промышленность
573,253,#a6a6a6,Обрабатывающая промышленность
574,22,#00B050,"Сельское, лесное и рыбное хозяйство"
579,504,#b9ede0,Транспорт и складирование
581,211,#a6a6a6,Обрабатывающая промышленность
584,601,#ffc000,Креативные услуги
593,17,#00B050,"Сельское, лесное и рыбное хозяйство"
594,582,#ffc000,Креативные услуги
599,262,#a6a6a6,Обрабатывающая промышленность
606,62,#000000,Горнодобывающая промышленность и разработка карьеров
624,279,#a6a6a6,Обрабатывающая промышленность
627,274,#a6a6a6,Обрабатывающая промышленность
637,206,#a6a6a6,Обрабатывающая промышленность
654,613,#fe0000,Бизнес  услуги
657,304,#a6a6a6,Обрабатывающая промышленность
658,662,#fe0000,Бизнес  услуги
662,151,#a6a6a6,Обрабатывающая промышленность
664,265,#a6a6a6,Обрабатывающая промышленность
665,774,#ff33a3,Локальные услуги
671,643,#fe0000,Бизнес  услуги
681,324,#a6a6a6,Обрабатывающая промышленность
683,512,#b9ede0,Транспорт и складирование
688,266,#a6a6a6,Обрабатывающая промышленность
699,257,#a6a6a6,Обрабатывающая промышленность
700,263,#a6a6a6,Обрабатывающая промышленность
